id,standard exp
838,wonderful great convenient good hard stupid tolerable available bad enough 
851,celebratory delicious cheaper happy disappointing afford absurdly obnoxious rich 
854,terribly fairly fresh decent expensive nice fault strangely 
855,terrible cold awesome rude angry nice seasoned excited spotty decent 
859,excuse top lose problem right 
864,charming delay mediocre 
865,well right error 
870,overpriced slow downhill fine suck bothered 
878,sadly great complex decline good 
883,great terrible well spectacular better expensive 
889,great promptly loud anemic stew terrible well tacky quaint 
891,loves lack slow error 
897,refund wrong bad clear break loyalty 
919,gross right 
928,hate unfortunately well worst nice pretty nasty easy hard enough 
931,pretty shame slick good 
932,hated stealing disgusting 
933,best delicious broken comfort cheap 
934,reasonably cheap better 
936,rude happy better drain variety expensive falls cheap harshly 
958,sweet friendly amazing fried good pretty uncomfortably 
1027,great hateful good limp problem lame 
1047,hard enough hot split fried good 
1095,excited unfortunately sad helped 
1111,well fairly modern twist 
1129,wrong attractive well adequate delicious tender 
1171,cold hot dark soft consistent top laughable classy decent excuse recommend mistake 
1172,works well properly worse bug thank 
1174,terrible mess crap enough problem stinks cold smells nasty hell hefty 
1176,mistaken awesome strike clearly needless 
1181,well agreeable great delicious lame terrible dying horrible slow happy 
1201,fine classic expensive love bad simpler 
1206,strange concerned good sorry 
1207,excited smile super great miss bored 
1212,hot well 
1213,sucked neglected 
1226,hard trap peppy great pathetic 
1228,disaster fun colorful impressed wow efficiently problem sick mad blame 
1229,promising beautiful problem death gross forged stall sick ruined favorite 
1231,great limited hot angry hostile 
1232,drunk loses freaking appropriate cool overpriced cheap defiance worth good fresh exhaust helpful frustrating 
1233,fried expensive disorganized well sick accuse 
1235,worth hell issue bad reasonably incredibly wrong great 
1236,incredibly bad strike 
1237,nice free good 
1238,clearly good attraction disappointment freshest fried 
1239,pleasantly right attentive timely gritty bland liked impressed wise fine work ridiculous glad horrible great 
1240,sucks bugs work hate insanely crappy annoying 
1281,good appreciate hell pretty worth 
1291,killer disinterested disappointing fat fried awful stellar love 
1292,love well hard favorite 
1318,weird ridiculous overpriced better 
1319,love lied hell bloody 
1338,healthy great helpful friendly split fat good amazing mediocre 
1361,excited good great nice crowded 
1396,love fresh comfort disappointments bother impossible pretty loud disappointed bland sorry 
1418,rich pain shock good desert 
1420,devastated brilliant well utterly disappointing strained enough squash crisp great satisfying love 
1429,respectful 
1442,shit right mushy displaced nice lied truthfulness better 
1445,sadly negative lovely good enjoy 
1451,poor fried pig best fat love stale 
1462,enjoy disappointment promptly positive fine impatient good mediocre best fortunately timely 
1464,pride liked quiet favor hostage fairly good terrible 
1466,enjoy strict decent trouble 
1467,unfortunately nasty refused better consistently redeeming work significant shortcomings willingly 
1470,amazing wonderful abrasive 
1472,worth delectable damn problem fuzzy burned bright complaining bad negative 
1480,amazing well bad mediocre fried fell allergic 
1485,hype famous decent amazing better best pretty gross delicious 
1487,top nice attentive rich great instantly extravagant 
1488,willing devoid worth 
1491,worst fucking phenomenal scramble nicely well scrambled lie 
1518,kill well ranting problem enough comfortable nicely shocked pretty love prefer amazing lacking sweetness disappointed better ruined good 
1525,popular better good 
1538,well 
1541,right fair good doubt 
1576,worth work good damn pretty satisfied 
1584,free boring bland better 
1588,bland sour pretty nice 
1593,crazy great smell excited love heaven headache top best fried crisp enough nice die good recommend 
1599,fried problem better 
1612,split splendid better 
1628,guarantee sadly bland lacked enjoy 
1637,worth popular pretty good divine fried awesome cold better misery 
1641,good great 
1657,right good hot wow odd smooth delusions awfully mediocre bland pretty bad hard complain golden soft remedy debacle better disappointed 
1661,sorely disappointed brave infamous well best miserably clearly choke sour bland mistake 
1677,pros cons fried sour pretty 
1686,snob fried good impressed 
1688,ridiculously mediocre better good fall trap 
1700,delicious instantly good fine better scrambled jam fav 
1709,best great unacceptable rude negative good right misunderstandings mistakes decency misunderstood cold loved happy poor amazing bad wonder 
1732,pretty good fried scramble favorite noteworthy 
1747,love unfortunately freezing 
1749,famous delicious dense dominated pretty top greasy sour hell reputation shit better good crack love embarrassment 
1772,good worth hassle hell sweet better mess knife boring perfect amazing 
1783,disappointment crazy appreciate recommend 
1793,fried disappointment better hum good comfort great warned 
1813,hype terrible wonderful pretty hard 
1882,pretty worst bad 
1884,cheapest 
1886,best memorable hot bugs leaking steal warm decent 
1888,greatest injustices greasy sweet cruelly unfortunate best worst pretty good worse cold well grand charming decrepit gross impossibly phenomenal bizarre fine unclean decent 
1948,good nice bland shit better 
1949,wrong incorrect nice fresh well good 
1960,right disaster better 
1991,mediocre bland top bad nice ready great awesome 
1999,disgusting mess lacks variety shame stellar waste miraculously lonely 
2007,poorly fault 
2031,great lacking flirty spoiled smell rich best enjoy 
2048,wonder impress ignorance soft expensive hefty worth overpriced 
2054,romantic chilly cold best confused worth squash 
2059,fair honest lied good poor cramped rude clean better fairly lack skill 
2095,good suffer problem overpriced better right painfully 
2103,hot great cold top nice 
2116,inflated master worse frozen bland boring mushy 
2127,bumping cheap bland confusing enjoyed good enjoy smelled strong impressed impressive exciting 
2134,innovative friendly uncomfortably cool awkward fun uncomfortable die nice efficient puzzled cozy clearly bad thank 
2138,cute great hot dominated best crazy failed 
2185,complained problems tender mushy tough peeled enough hot frozen fresh reasonable better 
2205,strict fried good 
2206,issue sweet sour mistake good work rumors 
2209,great idiot top polite horrible disappointed 
2210,fault unacceptable refused mess boiling horrible angry enjoyable 
2211,hate rude afford bad 
2219,fell disappoint honest loud unbearable lacking better good nice ready 
2221,pretty good liked well sweet enjoyed 
2229,bad super worth free 
2231,better rude great attentive 
2241,thrilled impatient good awful 
2243,womanizing steal cracked mad drunk 
2248,worst wrong decent cheap fun 
2249,jam worse better proper hectic mess crap 
2251,desperate sweet right top cool 
2255,important annoyance clearly handy freaking fine pretty enjoy bland unable obnoxious snarl stupid merit furiously loose awkward uncomfortable hefty illegal 
2265,super impressed fun gorgeous bad nice best scrap bland correctly better 
2273,mediocre nicely smiles good loud bad 
2275,bad good problem pretty enough lost annoyed refuses 
2282,wow mistake attentive loves good hate 
2291,blah worth great good 
2292,well 
2296,good lack fell wow bloody great hot nice delicious confused sorry better 
2299,memorable best slow overpriced liked great slower fast 
2333,horrible worst crazy right hot bad 
2337,trendy popular terrible enjoyment good 
2342,glorious cold stupidly worth top crumpled clear smartly irony interesting ordeal 
2345,accuse decent crap enjoy welcome worse lukewarm clearly frozen top sweet good disappointing well better 
2353,strange wrong lacked pan fried nice appreciated 
2365,better excited skinny optimal garbage appealing disappointment 
2368,knock fine pretty overpriced great well worth happy fair decent 
2372,dark greasy sick loves prefer 
2378,issue problem enjoy nice bad insulted skinny complaining solid worst 
2383,love cheap recommend 
2384,lost problem better good 
2385,unlucky good well loved bad wrong recommended 
2387,horrible bad mediocre bother cheap 
2388,expensive fault happy 
2390,prompt decent ridiculous lovely hurting good worth 
2392,missed good excellent better 
2426,decent lacked zest good 
2435,genuine good pale fault outstanding bad sloppy love best sorry ugly correct free better 
2438,friendly passion strong blur memorable rival bad worth excited good 
2442,hype authentic delicious well fried recommendations hard soft prefer break hang clean 
2443,unfamiliar struggled classic fried top better bland redeeming fresh blah 
2447,soapy scrap funny best confused bland authentic amazing decent bad 
2455,complain ruining irony best disappointed fine successful snag annoyed affable interesting good bad wow works great erroneously bother favorite nice disliked enjoyment sticky tough travesty better kudos bum dies unreal ruined 
2459,better lose cold slow 
2464,disappointment good weird ruined strange crappy issue pathetic flake waste 
2465,well hate hurt great bad work happy 
2480,pretty terrible hate drunk defunct 
2482,best enough blame gross tough good bizarre deny free crazy awkward falls terribly hard cheap 
2483,enough issue well good decent disappointing greasy dark tired dirty issues 
2486,honest best miss 
2523,break amazed wonderful worse poor chill warm happy appreciate fun tricked trust fuss hard fine ridiculous top nasty well nice loved 
2534,unfortunate shit well complain incredulous decent overpriced better available 
2541,lacking better worth shabby idiot 
2544,disappointed disappointments badly boom bad junk annoyingly 
2560,good apocalypse best hard dense disappointing 
2563,atrocious awful incredibly frustrated disgusting proper poor antagonize good nice trust 
2570,delicious hell adequate bad overpriced dull 
2589,scrambled promising good unusual bland jam pretty friendly 
2599,fresh fantastic unfortunately good great better 
2613,fell hate courteous enough pretty efficient smells awful 
2626,good satisfy love worst miserable 
2658,sorry lemon crumble liked bad worth strong 
2663,better tired pretty good bitter decent recommended pleasant missed cool tender enjoy 
2682,good liked ridiculous fried pretty correctly 
2684,strange 
2691,reasonable timely excited great sweet love imperfectly top burning crap disillusionment best good confused acclamation crappy 
2700,stellar impressive doubt overrated well nice attentive disappointed disappointing pain bothered cold wrong disappointment fair great trick better 
2708,explosive crowded best 
2711,pretentious ready mediocre fried sorry amazing fancy blah 
2720,recommend great 
2730,cute seasoned good frozen gross happy 
2737,needless easier 
2741,poor love discriminate bland cool hard mess good ruined poorly disappointed right 
2742,bad sweet fried dense good 
2751,liked cool warm beg cold horrible 
2752,expensive worth great lack popular good amazing fav killed bright 
2755,disappointed scrambled enough excited 
2770,cute awesome well decent mess nice 
2812,famous overwhelming cold smile 
2814,warning top good 
2822,loving hell wrong comfort hard unfamiliar strange annoy shit worth better 
2834,good disappointment interesting worth ready pretty pathetic nice cute liking wise satisfying top hot overpriced best 
2847,mad 
2859,disappointment issues work enough bored 
2864,right mushy beware bad worth wrong best 
2865,dim classic stable glad desperate right works nice 
2876,problem wrong comical 
2886,complimentary slow great well enjoy polite clearly coward upset good worst enemy 
2887,nice snobbish compliment bland 
2901,fresh well good wow disappointment bland lacking crisp 
2904,terrible ruin hot pricey butcher angry 
2994,decent fun positive stranger 
3005,beautiful lovely patiently bothering bad friendly wrong cold patience nice worst 
3011,best peeve available 
3014,unfortunately good right drunk enjoyed bad 
3017,weird love great 
3040,well bothered right lazy bad great lacked 
3041,trash smelled shit wonder weird pretty roomy odor 
3051,favorite gross disappointing 
3057,right bizarre cool trendy enough 
3061,crisp colorful cute happy outrageous disturbed healthy ugh sweet enough fat good harassment 
3067,great friendly complimentary rich 
3068,fine hostile hospitable great joy 
3074,problems good greasy issue untouched swamped wrong 
3091,dark bad refused complained worth crazy incompetent 
3093,good seasoned sweet tough top bother fake attentive fresh nice poor hot 
3094,free ready fresh 
3099,worse terrible great love mess messed falling awful fried exaggeration disappointing well best 
3100,great nice stuck fried boring stereotypical bland unappealing 
3139,enough crap bad better 
3148,pricey hot strange good fat 
3157,problematic sweet mediocrity mediocre funny 
3159,nice fat qualm pleasant hard good cheesy fine 
3170,nice roomy pretty critical free warm cold delicious soft missed manic lie awesome 
3171,incorrectly unfortunately 
3184,pluses nice liked feeble clearly mess die 
3185,hate awful frozen infamy insane ignorance 
3194,cold annoyed outstanding pros 
3204,confused good right ready proper mystery 
3214,good 
3217,limited fresh 
3223,better bad slow good frozen well hard 
3227,expensive satisfying spacious 
3235,hard pretty terrible problem 
3238,enjoy rude right clearly great free upset better suck horrible cheap fair 
3239,comfort mashed 
3243,bad worse clearly good 
3246,annoying good decent hard 
3249,excited bad bitter top right disruptive faults fault 
3253,limit humble great sad eagerly smiling ready sorry wrinkled generous lost well 
3269,intimate sour cozy obnoxious loud hard limited pretty ripped tentative strike right bland well thank 
3279,good 
3291,sad weak good bland 
3293,good free fried nice bad 
3294,appeal good problem 
3296,dripping stranger great limp greasy well bother worth 
3303,worry unhealthy easiest outstanding beautiful welcome knock good 
3308,pleasure nice pretty bothered disappointed indifferent 
3312,good disappointed fresh 
3320,mediocre passion hard favorite 
3331,well split frustrated top wow sucked crazy better messing love 
3340,disappoint top tops 
3347,perfect well loud 
3349,hate begging crappy spontaneous fail awful fine disgusting hard nice bad 
3356,delicious annoyed frozen cool rude bother enjoy 
3360,good friendly great worse pretty warm snobby convenience powerful enough 
3363,disappointing slow quicker better 
3366,lack good clearly vomit magic stale perfect enough fresh fried better 
3369,sorry sticky hot miss bland 
3370,horrible recommended cheap bad damned wow good well willing redeem ruin better worse horrendous happy top aching spilling ridiculous fell enough needless damn waste 
3374,fine losing patience better noisier recommend great enjoyed 
3384,consistently unfortunately pretty 
3399,bland loud better 
3402,issue 
3419,unpleasant annoying nice enjoy horrible 
3420,pan fair odd right well pitiful spilling valuable sharply missed perfunctory distract loud pointless pleasant detract 
3434,extraordinarily ugh enough 
3436,appeal sweet good hot enough blind 
3439,favorite unabashed disdain respect clean best humility shame sweet nice loss 
3441,favorite hot popular variety well grand unfortunately slowly downhill bland scramble miss 
3448,concerned negatives wretched strong sneak well enjoyed attack decadent good super overwhelmingly enough dense lumpy 
3456,disappointed frustrated lack bad odd right 
3477,relaxed bad loved fragrant nauseating 
3504,fell love best disappointment rude reliable 
3523,well impressed disappointed poor pains best fears good perfectly nice winner outstanding cold rapid delicious fair great recommend 
3526,crowded noisy decent pretty joke improvement unfortunately favorite 
3540,mediocre well nicer helpful better 
3545,good messes glorious robust bland sweet blah excited indulge boring failed delicious grainy 
3546,well nice cool clean dirty bad poor unfortunate nonexistent smell hated 
3549,attractive important 
3563,nice right gross disgusting shocked plentiful excellent raving 
3585,unfortunate right nice happy great perfect mess satisfied super bad pretty good disappointed better love enjoys fine upset 
3586,cool good shockingly bad galore bland fiery 
3588,bad terrible plusses work awesome enjoyed realistic fine issues right well magic fell sloppy crazy shame boring 
3590,love fell bland illegal inexpensive 
3595,pros greasy recommend 
3601,nice greasy neat support good 
3603,properly better dirty recommend 
3607,excited hard mediocrity cool rude great well good reasonably 
3610,excited attack worst gush guilt regret 
3613,sorry critical optimistic better interesting weird nice cool awful 
3624,sloppy hot douchebag 
3633,excited right comfy darker good fairly cold odd desirable better bitter acrid great 
3640,smiles best sink right good 
3661,better good top crap 
3678,problem good unhappy harsh 
3681,hurt work 
3694,good impossible top suffered bumped happy lack pretty 
3705,tragic well neat phenomenal beware lacking poorly 
3715,worst belittled better favor 
3727,unbelievable dragged nice best destroy 
3735,bad celebrate super cold unfortunately irritate hot loud sweet well famed mediocrity hell clearly good excuse poor lousy bother 
3742,good well unbelievable impossible bad lying 
3747,good best terrific concern well 
3749,work dark problems bad isolated better 
3764,worried ready hopeful miraculously stuffy 
3777,fantastic enjoyed delicious fatty kudos fried bonus better drunken 
3786,decent complain rude hard pain 
3788,cold worst lacked loves 
3795,horrible tired bad worn sad annoyed best pretty 
3850,patronize bad support struggle buzzing fine annoying hot appeal fail stew well ridiculous favor 
3855,good hot well great fresh 
3861,awesome hard well good ghastly goodness bad strange poor 
3864,nicely hard welcome missed golden happy suspect fault clearly guarantee 
3871,mediocre bland polished burn 
3880,better positive lovely sweet mushy messy fine well hot bitter bad hard cheap sadly satisfy 
